"filename", "language", "C++", "Slang", "CMake", "comment", "blank", "total"
"/Users/nemesisverstraete/Desktop/Obsidium/src/rhi/RendererBackend.cpp", "C++", 4, 0, 0, 3, 4, 11
"/Users/nemesisverstraete/Desktop/Obsidium/src/rhi/RendererBackend.h", "C++", 25, 0, 0, 4, 14, 43
"/Users/nemesisverstraete/Desktop/Obsidium/src/rhi/Texture.h", "C++", 15, 0, 0, 3, 6, 24
"/Users/nemesisverstraete/Desktop/Obsidium/src/utils/IDSystem.cpp", "C++", 24, 0, 0, 3, 7, 34
"/Users/nemesisverstraete/Desktop/Obsidium/src/utils/IDSystem.h", "C++", 51, 0, 0, 3, 16, 70
"/Users/nemesisverstraete/Desktop/Obsidium/src/utils/UUID.cpp", "C++", 10, 0, 0, 3, 7, 20
"/Users/nemesisverstraete/Desktop/Obsidium/src/utils/UUID.h", "C++", 8, 0, 0, 3, 8, 19
"/Users/nemesisverstraete/Desktop/Obsidium/src/window/GLFWImplementation.h", "C++", 86, 0, 0, 3, 21, 110
"/Users/nemesisverstraete/Desktop/Obsidium/src/window/Window.cpp", "C++", 14, 0, 0, 3, 6, 23
"/Users/nemesisverstraete/Desktop/Obsidium/src/world/EntityComponentManager.cpp", "C++", 49, 0, 0, 3, 12, 64
"/Users/nemesisverstraete/Desktop/Obsidium/src/world/SparseSet.cpp", "C++", 40, 0, 0, 3, 10, 53
"/Users/nemesisverstraete/Desktop/Obsidium/src/world/System.cpp", "C++", 3, 0, 0, 3, 4, 10
"/Users/nemesisverstraete/Desktop/Obsidium/src/world/World.cpp", "C++", 1, 0, 0, 3, 2, 6
"/Users/nemesisverstraete/Desktop/Obsidium/src/world/WorldManager.cpp", "C++", 1, 0, 0, 3, 3, 7
"/Users/nemesisverstraete/Desktop/Obsidium/src/world/scene/Camera.cpp", "C++", 52, 0, 0, 3, 13, 68
"/Users/nemesisverstraete/Desktop/Obsidium/src/world/scene/Entity.cpp", "C++", 20, 0, 0, 3, 11, 34
"/Users/nemesisverstraete/Desktop/Obsidium/src/world/scene/Scene.cpp", "C++", 180, 0, 0, 3, 49, 232
"/Users/nemesisverstraete/Desktop/Obsidium/src/world/scene/SceneManager.cpp", "C++", 27, 0, 0, 3, 11, 41
"Total", "-", 2686, 33, 108, 250, 915, 3992
